Entity,Code,Year,Primary Energy Consumption (terawatt-hours)
Argentina,ARG,2011,915.5681227302288
Argentina,ARG,2012,942.2604514311959
Argentina,ARG,2013,982.6040098322283
Argentina,ARG,2014,978.4022981521706
Argentina,ARG,2015,1001.3302034887311
Argentina,ARG,2016,999.2181065296804
Argentina,ARG,2017,1001.3857253097067
Argentina,ARG,2018,989.1598669446079
Asia Pacific,,1965,5135.237611123247
Asia Pacific,,1966,5615.9561930005175
Asia Pacific,,1967,5885.708835984587
Asia Pacific,,1968,6327.74005936363
Asia Pacific,,1969,7208.321129955075
Asia Pacific,,1970,8197.82993761301
Asia Pacific,,1971,8971.673288008604
Asia Pacific,,1972,9512.956347692863
Asia Pacific,,1973,10293.739388263812
Asia Pacific,,1974,10492.027434247144
Asia Pacific,,1975,10885.766862062637
Asia Pacific,,1976,11435.314403207325
Asia Pacific,,1977,12063.522072120442
Asia Pacific,,1978,12865.552992497078
Asia Pacific,,1979,13462.980033905915
Asia Pacific,,1980,13584.492010882585
Asia Pacific,,1981,13665.634540948055
Asia Pacific,,1982,13802.453601851526
Asia Pacific,,1983,14428.214034161843
Asia Pacific,,1984,15429.01462438926
Asia Pacific,,1985,16233.678880555452
Asia Pacific,,1986,16929.323097351637
Asia Pacific,,1987,17883.154329458797
Asia Pacific,,1988,19186.860997557258
Asia Pacific,,1989,20232.268375288753
Asia Pacific,,1990,21068.683227376583
Asia Pacific,,1991,22050.251168867693
Asia Pacific,,1992,23070.765742916952
Asia Pacific,,1993,24287.226124183893
Asia Pacific,,1994,25629.83661682342
Asia Pacific,,1995,26815.562505780734
Asia Pacific,,1996,28063.274272156727
Asia Pacific,,1997,28926.13341439491
Asia Pacific,,1998,28853.823401517922
Asia Pacific,,1999,30020.041731266392
Asia Pacific,,2000,31113.842695311683
Asia Pacific,,2001,32137.063623390717
Asia Pacific,,2002,33796.87585845572
Asia Pacific,,2003,36633.17648037434
Asia Pacific,,2004,40130.70734848111
Asia Pacific,,2005,43369.73939462064
Asia Pacific,,2006,45937.13277422703
Asia Pacific,,2007,48849.62466112426
Asia Pacific,,2008,50197.43811765898
Asia Pacific,,2009,51388.901659926516
Asia Pacific,,2010,54678.99138665818
Asia Pacific,,2011,57620.864304346745
Asia Pacific,,2012,59564.68647930671
Asia Pacific,,2013,61341.002858802836
Asia Pacific,,2014,62681.384756379775
Asia Pacific,,2015,63682.05659089313
Asia Pacific,,2016,64976.325083947915
Asia Pacific,,2017,66849.68780629005
Asia Pacific,,2018,69615.32381130465
Australia,AUS,1965,404.18988403508786
Australia,AUS,1966,443.55216925438623
Australia,AUS,1967,470.45545456140405
Australia,AUS,1968,498.94848248538057
Australia,AUS,1969,519.4448253508773
Australia,AUS,1970,566.6456486258483
Australia,AUS,1971,594.9155380013505
Australia,AUS,1972,622.1784750277434
Australia,AUS,1973,665.1684946804619
Australia,AUS,1974,707.1458616619885
Australia,AUS,1975,718.7814240665318
Australia,AUS,1976,744.211050388576
Australia,AUS,1977,781.3206722945035
