Year,dollars/MT
2017.91553448,4419.27710843
2017.9327416,4669.87951807
2017.96129198,3995.18072289
2017.96186875,4110.84337349
2018.02483338,5537.34939759
2018.04540502,4862.65060241
2018.04694309,5171.08433735
2018.06328506,5248.19277108
2018.08818252,5440.96385542
2018.11086901,5190.36144578
2018.12557678,4939.75903614
2018.13220969,4669.87951807
2018.15893361,5228.91566265
2018.17364137,4978.31325301
2018.1885414,4766.26506024
2018.21142015,4554.21686747
2018.2497757,4245.78313253
2018.25054473,4400
2018.25631248,3956.62650602
2018.27947962,3802.40963855
2018.29957062,4631.3253012
2018.30533837,5787.95180723
2018.32216098,5961.44578313
2018.32773648,7079.51807229
2018.34455909,5653.01204819
2018.3505191,5248.19277108
2018.38666368,6096.38554217
2018.40810049,5595.18072289
2018.43174827,5537.34939759
2018.45779928,5961.44578313
2018.47241092,5691.56626506
2018.4937516,5171.08433735
2018.50826711,4881.92771084
2018.53777877,4400
2018.53893233,4631.3253012
2018.56998206,4457.8313253
2018.57546142,3956.62650602
2018.60007049,4091.56626506
2018.61814278,4515.6626506
2018.63977185,4053.01204819
2018.65851705,4612.04819277
2018.66466932,4245.78313253
2018.68408741,4939.75903614
2018.70437067,4207.22891566
2018.73003717,4554.21686747
2018.75926045,4014.45783133
2018.77281466,5132.53012048
2018.7913676,4053.01204819
2018.84616124,3840.96385542
2018.86903999,3628.91566265
2018.87019354,3860.24096386
2018.88451679,3532.53012048
2018.91623943,3493.97590361
2018.93315816,3686.74698795
2018.97237888,3551.80722892
2019.00938862,2973.4939759
2019.01582927,2665.06024096
2019.01861702,3224.09638554
2019.04082287,2877.10843373
2019.07533325,3397.59036145
2019.08148552,3031.3253012
2019.16309921,3397.59036145
2019.18597795,3185.54216867
2019.18703538,3397.59036145
2019.20107024,3012.04819277
2019.22789028,3590.36144578
2019.25,3224.09638554
2019.25086516,3397.59036145
2019.28960523,3166.26506024
2019.29681492,3012.04819277
2019.32872981,3012.04819277
2019.32930659,3127.71084337
2019.35112792,2703.61445783
2019.35987567,2857.8313253
2019.37516022,2722.89156627
2019.39294412,3089.15662651
2019.39851961,2607.22891566
2019.41524609,2761.44578313
2019.43774032,2472.28915663
2019.46167649,2472.28915663
2019.46244553,2626.5060241
2019.50349269,2857.8313253
2019.51820046,2607.22891566
2019.54338631,2857.8313253
2019.54415534,3012.04819277
2019.5683799,3069.87951807
2019.58260702,2722.89156627
2019.60500513,2414.45783133
2019.64634068,2703.61445783
2019.67652525,2356.62650602
2019.69498206,2857.8313253
2019.71017047,2703.61445783
2019.71795693,2665.06024096
2019.74064342,2414.45783133
2019.75535119,2163.85542169
2019.79572546,2260.24096386
2019.79649449,2414.45783133
2019.84619328,2780.72289157
2019.86878365,2510.84337349
2019.90742758,2260.24096386
2019.92405793,2395.18072289
2019.92540374,2665.06024096
2019.96433607,2472.28915663
2019.96481671,2568.6746988
2019.99817355,2857.8313253
2020.02931941,2703.61445783
2020.03047296,2934.93975904
2020.03729813,2703.61445783
2020.06200333,2857.8313253
2020.09170725,2414.45783133
2020.09766726,2009.63855422
2020.12237247,2163.85542169
2020.12362215,2414.45783133
2020.13871443,2240.96385542
2020.1619777,2106.02409639
